name,latitude,longitude,common_name,scientific_name,indivuals,source,state
neelam2,11.587888,92.65564,Buckeyes & Pansies,Junonia,1,inat,Andaman & Nicobar
anirudhsrivastha,13.56056337,78.49489342,Crimson Rose Swallowtail,Pachliopta hector,1,inat,Andhra Pradesh
rajabandi,16.62033167,80.78325997,Common Grass Yellow,Eurema hecabe,1,inat,Andhra Pradesh
rajabandi,16.61961333,80.78514997,Common Leopard,Phalanta phalantha,1,inat,Andhra Pradesh
rajabandi,16.61899833,80.78762997,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.61796497,80.79237331,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.61794667,80.79243333,Common Jezebel,Delias eucharis,1,inat,Andhra Pradesh
rajabandi,16.61796,80.79242833,Common Crow Butterfly,Euploea core,1,inat,Andhra Pradesh
rajabandi,16.61798331,80.79235664,Common Grass Yellow,Eurema hecabe,1,inat,Andhra Pradesh
rajabandi,16.61724333,80.79587331,Common Leopard,Phalanta phalantha,1,inat,Andhra Pradesh
rajabandi,16.617455,80.79681,Common Pierrot,Castalius rosimon,1,inat,Andhra Pradesh
rajabandi,16.61751333,80.79686164,Lime Blue,Chilades lajus,1,inat,Andhra Pradesh
rajabandi,16.61745664,80.796825,Blue Tiger,Tirumala limniace,1,inat,Andhra Pradesh
rajabandi,16.617455,80.79677333,Zebra Blue,Leptotes plinius,1,inat,Andhra Pradesh
rajabandi,16.61740997,80.796425,Common Gull,Cepora nerissa,1,inat,Andhra Pradesh
rajabandi,16.61747333,80.79644167,Indian Skipper,Spialia galba,1,inat,Andhra Pradesh
rajabandi,16.61750497,80.79642,Common Pierrot,Castalius rosimon,1,inat,Andhra Pradesh
rajabandi,16.61859333,80.78988667,Yellow Pansy,Junonia hierta,1,inat,Andhra Pradesh
rajabandi,16.57220858,80.76145147,Joker,Byblia ilithyia,1,inat,Andhra Pradesh
rkpoola,13.47684311,78.81065514,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,17.60549,81.69013164,Common Four-ring,Ypthima huebneri,1,inat,Andhra Pradesh
rajabandi,17.604425,81.68914833,Dark-branded Bushbrown,Mycalesis mineus,1,inat,Andhra Pradesh
rajabandi,17.60187164,81.68886,Common Four-ring,Ypthima huebneri,1,inat,Andhra Pradesh
rajabandi,17.600795,81.68835331,Dark Evening Brown,Melanitis phedima,1,inat,Andhra Pradesh
rajabandi,17.60053164,81.68828333,Bushbrowns,Mycalesis,1,inat,Andhra Pradesh
rajabandi,17.60075833,81.68824667,Ring Butterflies,Ypthima,1,inat,Andhra Pradesh
rajabandi,17.60161497,81.68788664,Small Flats,Sarangesa,1,inat,Andhra Pradesh
rajabandi,17.60133333,81.68759997,Ring Butterflies,Ypthima,1,inat,Andhra Pradesh
rajabandi,17.60079833,81.68726497,,Orsotriaena,1,inat,Andhra Pradesh
rajabandi,17.60040833,81.68696164,Bushbrowns,Mycalesis,1,inat,Andhra Pradesh
rajabandi,17.60108664,81.68739331,Snow Flats,Tagiades,1,inat,Andhra Pradesh
rajabandi,17.60271497,81.68862331,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,17.60325164,81.68897333,Chocolate Pansy,Junonia iphita,1,inat,Andhra Pradesh
rajabandi,17.60385497,81.68921,Common Small Flat,Sarangesa dasahara,1,inat,Andhra Pradesh
rajabandi,17.60572833,81.689695,"Satyrs, Morphos, and Allies",Satyrinae,1,inat,Andhra Pradesh
rajabandi,17.64424164,81.72998664,Ring Butterflies,Ypthima,1,inat,Andhra Pradesh
rajabandi,17.64426161,81.72992664,,Orsotriaena,1,inat,Andhra Pradesh
rajabandi,17.64467333,81.72949667,Chocolate Pansy,Junonia iphita,1,inat,Andhra Pradesh
rajabandi,17.65655331,81.72105667,Elbowed Pierrot,Caleta elna,1,inat,Andhra Pradesh
rajabandi,17.65651664,81.721135,Chocolate Pansy,Junonia iphita,1,inat,Andhra Pradesh
rajabandi,17.70056497,81.70888667,Grey Count,Tanaecia lepidea,1,inat,Andhra Pradesh
rajabandi,17.70051497,81.70886997,Chocolate Pansy,Junonia iphita,1,inat,Andhra Pradesh
rajabandi,17.717425,81.773105,Chocolate Pansy,Junonia iphita,1,inat,Andhra Pradesh
rajabandi,17.72033921,81.77778737,Great Eggfly,Hypolimnas bolina,1,inat,Andhra Pradesh
rajabandi,17.7227009,81.78053866,Striped Blue Crow Butterfly,Euploea mulciber,1,inat,Andhra Pradesh
rajabandi,17.7227009,81.78053866,Elbowed Pierrot,Caleta elna,1,inat,Andhra Pradesh
rajabandi,17.70937194,81.74962991,Chocolate Pansy,Junonia iphita,1,inat,Andhra Pradesh
rajabandi,17.7123154,81.75443643,Yamfly,Loxura atymnus,1,inat,Andhra Pradesh
rajabandi,17.70839079,81.73040384,Chocolate Pansy,Junonia iphita,1,inat,Andhra Pradesh
rajabandi,17.6708481,81.6013384,Typical Blues,Polyommatini,1,inat,Andhra Pradesh
anirudhsrivastha,13.56073547,78.49517204,Yellows and Sulphurs,Coliadinae,1,inat,Andhra Pradesh
rajabandi,16.50214815,80.5906915,Common Crow Butterfly,Euploea core,1,inat,Andhra Pradesh
rajabandi,16.52,80.676,Grass Skippers,Hesperiinae,1,inat,Andhra Pradesh
nstrksyamala,13.39362255,79.423443,Dark-branded Bushbrown,Mycalesis mineus,1,inat,Andhra Pradesh
srinivas7,15.90531944,80.47029444,Danaid Eggfly,Hypolimnas misippus,1,inat,Andhra Pradesh
rajabandi,16.64210831,80.48658,Jewelled Grass-blue,Freyeria putli,1,inat,Andhra Pradesh
rajabandi,16.64214333,80.486615,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
rajabandi,16.64549,80.48839333,Crimson Tip,Colotis danae,1,inat,Andhra Pradesh
rajabandi,16.65167667,80.49306,Common Pierrot,Castalius rosimon,1,inat,Andhra Pradesh
rajabandi,16.65334164,80.49344333,Lemon Pansy,Junonia lemonias,1,inat,Andhra Pradesh
